PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MEI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;3.201,00;531.550.350,00;;;;;;;;;;;;;;
2;UDANG DOGOL;115,90;11.590.000,00;;;151,20;8.428.000,00;;;;;;;;;;;;;;
3;UDANG TIGER;;;;;6,90;1.303.000,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;1.338,50;131.268.800,00;;;;;;;;;;;;;;
5;UDANG BARAT;9,00;270.000,00;;;;;;;757,50;20.073.750,00;;;;;;;;;;
6;UDANG REBON;3.812,50;75.498.000,00;;;;;5.014,50;81.405.000,00;46,00;874.000,00;;;;;;;;;;
7;UDANG KROSOK;1.627,10;43.931.700,00;;;;;630,80;22.296.500,00;38,50;847.000,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;DEBLEG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;400,00;16.000.000,00;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;;;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;285,00;1.425.000,00;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;1.470,00;7.350.000,00;;;;;;;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;322,60;3.871.200,00;;;;;;;5,00;51.750,00;;;;;;;;;;
30;LEMBUTAN;;;13.667,00;33.625.000,00;;;;;;;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;828,40;6.627.200,00;10,00;30.000,00;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;;;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;117,00;351.000,00;;;;;;;;;;;;;;;;
44;TERI;;;75,00;450.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;1.683,70;2.378.040,00;;;;;1.952,60;26.098.530,00;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;8.399,20;144.166.140,00;15.339,00;41.806.000,00;5.097,60;688.550.150,00;7.882,90;131.225.030,00;847,00;21.846.500,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : MEI 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;2.305,30;370.446.400,00;;;;;5.506,30;901.996.750,00;37.722,09;6.428.083.850,00;;;;;;;;;;
2;UDANG DOGOL;530,70;27.975.100,00;;;;;797,80;47.993.100,00;9.135,50;539.310.100,00;;;;;;;;;;
3;UDANG TIGER;59,80;11.075.000,00;;;;;66,70;12.378.000,00;272,20;53.683.700,00;;;;;;;;;;
4;UDANG PECI;1.183,40;114.043.900,00;;;;;2.521,90;245.312.700,00;26.248,10;2.857.937.300,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;766,50;20.343.750,00;4.746,50;128.888.750,00;;;;;;;;;;
6;UDANG REBON;;;;;;;8.873,00;157.777.000,00;38.615,30;723.424.900,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;2.296,40;67.075.200,00;31.414,40;942.462.800,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;188,60;34.868.040,00;188,60;34.868.040,00;6.672,70;1.058.450.690,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.262,00;41.212.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;39.117,00;152.035.000,00;400,00;2.800.000,00;;;39.517,00;154.835.000,00;161.393,00;696.865.500,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;;;;;0,00;0,00;8.083,00;48.498.000,00;;;;;;;;;;
15;CUMI - CUMI;4.530,00;22.650.000,00;;;;;4.530,00;22.650.000,00;55.381,90;270.324.300,00;;;;;;;;;;
16;DEBLEG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
19;GOGOKAN;200,00;2.000.000,00;;;7,00;280.000,00;607,00;18.280.000,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;0,00;0,00;98,80;3.204.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;14,00;280.000,00;;;;;;;;;;
24;KEONG;1.450,00;14.500.000,00;;;;;1.735,00;15.925.000,00;9.483,00;82.621.000,00;;;;;;;;;;
25;LAYARAN;1.588,00;9.528.000,00;;;;;1.588,00;9.528.000,00;1.803,00;10.683.000,00;;;;;;;;;;
26;LAYUR;;;;;;;1.470,00;7.350.000,00;3.637,90;64.935.700,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;70,00;350.000,00;;;;;70,00;350.000,00;12.677,50;50.642.500,00;;;;;;;;;;
29;LIDAH;;;;;;;327,60;3.922.950,00;12.402,90;140.409.050,00;;;;;;;;;;
30;LEMBUTAN;;;;;;;13.667,00;33.625.000,00;95.016,00;168.643.500,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;540,00;3.320.000,00;;;;;540,00;3.320.000,00;2.270,00;13.480.000,00;;;;;;;;;;
33;MONTOK;;;;;;;838,40;6.657.200,00;11.613,80;52.321.300,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;100,00;150.000,00;;;;;100,00;150.000,00;8.141,00;17.283.000,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;12.009,00;58.480.000,00;;;12.009,00;58.480.000,00;88.615,00;385.726.500,00;;;;;;;;;;
38;SONGOT / JAHAN;7.880,00;35.580.000,00;;;;;7.880,00;35.580.000,00;30.317,80;144.119.000,00;;;;;;;;;;
39;TONGKOL BAKOR;23.200,00;139.200.000,00;13.740,00;96.180.000,00;;;36.940,00;235.380.000,00;128.980,50;772.460.500,00;;;;;;;;;;
40;TONGKOL JABRIK;20.366,00;92.255.000,00;19.646,00;117.876.000,00;;;40.012,00;210.131.000,00;151.313,10;813.888.000,00;;;;;;;;;;
41;TONGKOL TUNA;18.523,00;158.960.000,00;11.120,00;88.960.000,00;;;29.643,00;247.920.000,00;78.828,00;639.307.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;13,50;607.500,00;;;;;;;;;;
43;TANJAN;;;;;;;117,00;351.000,00;2.222,00;6.672.000,00;;;;;;;;;;
44;TERI;;;;;;;75,00;450.000,00;2.545,00;17.068.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
46;LAIN - LAIN;27.050,00;160.000.000,00;;;22,00;390.000,00;30.708,30;188.866.570,00;117.673,70;697.662.620,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;148.693,20;1.314.068.400,00;56.915,00;364.296.000,00;217,60;35.538.040,00;243.391,50;2.741.496.260,00;1.149.282,29;18.247.207.270,00;;;;;;;;;;
